                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3245,                0.74556,                  1.258,                 1.3879,                0.89517,                 1.2584,                0.81221,                 0.6774,                0.75095,                0.28883,                 2.1102,                0.92132,                 1.4393,                 2.2463,                 1.1354,                 1.4723,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.1417,                0.51487,                 1.1515,                 1.2184,                0.47636,                 1.1701,                0.79234,                0.66137,                0.71654,                0.27848,                 2.1414,                0.94078,                   1.44,                 2.2621,                 1.0918,                 1.4658,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.1524,                0.54263,                 1.1702,                 1.2342,                0.49786,                 1.1911,                0.65526,                0.48331,                0.53704,                0.18609,                  2.412,                 1.5442,                 1.6396,                 2.4411,                 2.0888,                 1.5923,              0.0097965,              0.0097965,              0.0097965
                      4,                 1.1543,                0.54944,                 1.1735,                 1.2451,                0.50673,                  1.201,                0.71917,                0.57727,                0.59598,                0.21227,                 2.3003,                 1.0836,                 1.5471,                 2.4686,                 1.3029,                 1.5934,               0.009703,               0.009703,               0.009703
                      5,                 1.0962,                0.50812,                 1.1585,                 1.1774,                0.46349,                 1.1807,                0.77582,                0.55872,                0.65558,                0.24516,                 2.2601,                 1.1229,                 1.5326,                 2.2828,                 1.4804,                 1.5002,               0.009703,               0.009703,               0.009703
                      6,                 1.0624,                0.48494,                 1.1426,                   1.14,                0.43856,                 1.1639,                 0.6734,                0.53272,                0.56415,                0.19915,                 2.3774,                0.97935,                 1.6017,                 2.4652,                 1.4284,                  1.544,               0.009604,               0.009604,               0.009604
                      7,                  1.031,                0.46466,                 1.1312,                 1.1048,                0.41915,                 1.1509,                0.68893,                0.53568,                0.55722,                0.20193,                 2.4423,                 1.0026,                 1.5952,                 2.6015,                 1.2381,                 1.6298,               0.009505,               0.009505,               0.009505
                      8,                 1.0119,                0.44993,                 1.1217,                 1.0843,                0.40141,                 1.1409,                0.75076,                0.61475,                0.65695,                0.24467,                  2.313,                0.95001,                 1.5956,                 2.4302,                 1.0979,                 1.5952,               0.009406,               0.009406,               0.009406
                      9,                0.99234,                0.43956,                 1.1163,                 1.0609,                0.39258,                  1.134,                0.72762,                0.58015,                0.58027,                 0.1958,                  2.514,                  1.013,                  1.664,                 2.5913,                 1.2914,                 1.6441,               0.009307,               0.009307,               0.009307
                     10,                0.98469,                0.43356,                 1.1104,                 1.0522,                0.38303,                 1.1282,                0.73821,                0.58785,                0.62068,                0.22348,                 2.3641,                0.95173,                 1.5988,                 2.5172,                 1.1161,                 1.6191,               0.009208,               0.009208,               0.009208
                     11,                0.96789,                0.42432,                 1.1032,                 1.0335,                0.37295,                 1.1196,                0.74126,                0.58847,                0.63229,                0.22762,                 2.3667,                0.97278,                 1.6068,                 2.4309,                 1.2178,                 1.5807,               0.009109,               0.009109,               0.009109
                     12,                0.95742,                0.41774,                 1.0988,                 1.0198,                0.36779,                 1.1137,                0.76384,                0.60636,                 0.6621,                0.24904,                 2.2713,                 0.9581,                 1.5376,                 2.3855,                 1.1534,                 1.5292,                0.00901,                0.00901,                0.00901
                     13,                0.94686,                0.41356,                 1.0908,                 1.0105,                0.36738,                 1.1053,                0.77994,                0.63579,                0.67763,                0.25982,                 2.2439,                0.88128,                 1.5307,                 2.3777,                 1.0377,                 1.5573,               0.008911,               0.008911,               0.008911
                     14,                 0.9499,                0.41218,                 1.0917,                 1.0123,                 0.3664,                 1.1067,                0.79061,                0.65232,                 0.7115,                0.27882,                 2.2018,                0.89225,                 1.4995,                 2.3125,                 1.0323,                 1.5105,               0.008812,               0.008812,               0.008812
                     15,                0.93557,                0.40495,                  1.085,                0.99817,                0.36086,                 1.0989,                0.77368,                0.64814,                 0.7008,                 0.2707,                 2.1932,                0.95878,                  1.484,                 2.2907,                 1.1069,                  1.486,               0.008713,               0.008713,               0.008713
                     16,                0.92399,                0.40002,                 1.0794,                0.98524,                 0.3511,                 1.0935,                0.71877,                0.57492,                0.62557,                0.22299,                 2.3419,                 1.0109,                 1.5911,                 2.4716,                 1.1803,                 1.5944,               0.008614,               0.008614,               0.008614
                     17,                0.91472,                0.39699,                 1.0783,                0.97456,                0.35331,                 1.0916,                0.79704,                0.65726,                0.72658,                0.28893,                  2.177,                 0.8907,                 1.4846,                 2.2621,                 1.0627,                  1.483,               0.008515,               0.008515,               0.008515
                     18,                0.91234,                0.39579,                 1.0727,                 0.9739,                0.35611,                 1.0869,                0.76725,                0.63549,                0.69087,                0.26665,                 2.2077,                0.93394,                 1.4975,                 2.2736,                 1.1623,                 1.4842,               0.008416,               0.008416,               0.008416
                     19,                0.90435,                0.39026,                 1.0681,                0.96351,                0.34764,                 1.0817,                0.76002,                0.61141,                0.66221,                0.25177,                 2.2412,                0.92436,                 1.5317,                 2.3658,                 1.1254,                 1.5386,               0.008317,               0.008317,               0.008317
                     20,                0.89301,                0.38502,                 1.0649,                0.95134,                0.34364,                 1.0774,                0.78904,                0.63518,                0.71173,                0.27851,                 2.1953,                0.93371,                 1.5014,                 2.2903,                 1.1356,                 1.5101,               0.008218,               0.008218,               0.008218
                     21,                0.88748,                0.38205,                 1.0599,                0.94525,                 0.3396,                 1.0724,                0.80373,                0.65534,                0.72855,                0.28402,                 2.1958,                0.88879,                 1.4867,                 2.2681,                 1.0987,                 1.4811,               0.008119,               0.008119,               0.008119
                     22,                0.88919,                0.38133,                 1.0596,                0.94485,                0.33769,                 1.0715,                0.76918,                0.63158,                0.68884,                0.26365,                 2.2321,                0.90971,                 1.5096,                 2.3299,                  1.116,                  1.516,                0.00802,                0.00802,                0.00802
                     23,                0.87605,                0.37612,                 1.0578,                0.93306,                0.33132,                 1.0708,                0.77006,                0.64458,                0.70416,                0.27622,                 2.2022,                0.90607,                 1.4973,                  2.286,                 1.1132,                 1.4933,               0.007921,               0.007921,               0.007921
                     24,                0.87995,                0.37687,                  1.059,                0.93418,                0.33307,                 1.0707,                0.76622,                0.62432,                0.69331,                 0.2696,                 2.2069,                0.95144,                 1.5023,                 2.2807,                 1.1705,                 1.4923,               0.007822,               0.007822,               0.007822
                     25,                0.87302,                0.37328,                 1.0545,                0.92956,                0.33358,                 1.0664,                0.78981,                0.63197,                 0.6972,                0.27545,                 2.2337,                0.89492,                 1.5557,                 2.3237,                 1.1086,                 1.5543,               0.007723,               0.007723,               0.007723
                     26,                0.86653,                0.36947,                 1.0556,                0.92115,                0.32529,                 1.0679,                 0.7877,                0.66123,                0.72056,                0.28365,                 2.2286,                0.89909,                 1.5241,                 2.3034,                 1.0681,                 1.5236,               0.007624,               0.007624,               0.007624
                     27,                0.86287,                0.36943,                 1.0518,                0.91686,                0.32461,                 1.0639,                0.79691,                 0.6687,                0.72829,                0.28395,                 2.2091,                0.86559,                 1.5112,                 2.3008,                 1.0219,                  1.519,               0.007525,               0.007525,               0.007525
                     28,                0.85898,                0.36625,                 1.0483,                0.91281,                0.32056,                 1.0595,                0.80754,                0.66667,                 0.7353,                0.29206,                 2.1744,                0.88361,                 1.4857,                 2.2482,                 1.0669,                  1.488,               0.007426,               0.007426,               0.007426
                     29,                0.85413,                0.36511,                 1.0434,                0.90608,                0.32053,                 1.0549,                0.78787,                0.65035,                0.71015,                0.28223,                 2.2261,                0.90434,                 1.5283,                 2.2976,                 1.1226,                 1.5273,               0.007327,               0.007327,               0.007327
                     30,                0.84464,                0.36248,                  1.042,                0.89855,                0.31848,                 1.0544,                0.78254,                0.65108,                0.70929,                0.27935,                 2.2295,                0.90352,                 1.5279,                 2.3009,                 1.1192,                 1.5311,               0.007228,               0.007228,               0.007228
                     31,                0.84449,                0.35913,                 1.0398,                0.89841,                0.31593,                 1.0521,                0.78757,                0.65829,                0.71296,                0.27868,                 2.2248,                0.88397,                 1.5271,                 2.3045,                 1.0742,                  1.538,               0.007129,               0.007129,               0.007129
                     32,                  0.847,                0.36011,                 1.0395,                0.89995,                0.31747,                 1.0514,                0.79355,                0.66299,                 0.7177,                0.28542,                 2.2197,                0.86515,                 1.5472,                 2.3025,                 1.0483,                 1.5507,                0.00703,                0.00703,                0.00703
                     33,                0.83319,                0.35439,                 1.0334,                 0.8864,                0.30953,                 1.0447,                0.79488,                0.65093,                0.70452,                0.28018,                 2.2278,                0.85043,                 1.5481,                 2.3269,                 1.0151,                 1.5595,               0.006931,               0.006931,               0.006931
                     34,                0.82355,                0.35178,                 1.0256,                0.87664,                0.31223,                 1.0371,                0.79159,                0.64839,                0.70426,                0.27059,                 2.2764,                0.86637,                 1.5776,                 2.3378,                 1.0525,                 1.5778,               0.006832,               0.006832,               0.006832
                     35,                0.82595,                0.35078,                 1.0325,                0.87733,                0.30845,                 1.0444,                0.78874,                  0.639,                0.69255,                0.27206,                 2.2793,                0.86873,                 1.5874,                 2.3515,                 1.0679,                 1.5854,               0.006733,               0.006733,               0.006733
                     36,                0.82277,                0.34732,                  1.031,                0.87419,                0.30819,                 1.0419,                0.78771,                0.63917,                0.70249,                 0.2775,                 2.2506,                0.87906,                 1.5671,                 2.3298,                 1.1108,                 1.5634,               0.006634,               0.006634,               0.006634
                     37,                0.82035,                0.34606,                 1.0279,                0.87244,                 0.3031,                 1.0391,                0.76221,                  0.633,                0.67784,                0.25889,                 2.3039,                0.87923,                 1.5936,                  2.395,                 1.0914,                 1.6009,               0.006535,               0.006535,               0.006535
                     38,                0.81258,                0.34404,                 1.0277,                0.86355,                0.30197,                 1.0384,                0.77605,                 0.6549,                0.69968,                0.27319,                 2.2487,                0.86731,                 1.5599,                 2.3383,                 1.0712,                 1.5639,               0.006436,               0.006436,               0.006436
                     39,                0.80971,                0.34216,                 1.0277,                0.86079,                0.29753,                 1.0395,                0.78527,                0.65917,                0.70363,                0.27391,                 2.2641,                0.87206,                 1.5815,                 2.3528,                 1.0675,                 1.5811,               0.006337,               0.006337,               0.006337
                     40,                0.81013,                 0.3427,                 1.0309,                0.86127,                0.30093,                 1.0424,                 0.7922,                 0.6648,                0.71051,                0.27827,                 2.2554,                0.84958,                  1.586,                 2.3362,                 1.0305,                 1.5801,               0.006238,               0.006238,               0.006238
                     41,                0.81057,                0.34238,                 1.0275,                 0.8611,                0.30047,                 1.0388,                0.80691,                0.66546,                0.71431,                0.27409,                 2.2759,                0.85054,                 1.6064,                 2.3497,                 1.0214,                 1.5968,               0.006139,               0.006139,               0.006139
                     42,                0.80438,                0.34055,                 1.0247,                0.85547,                0.29861,                 1.0361,                 0.8042,                0.66612,                0.71842,                0.27878,                 2.2582,                0.83917,                 1.5959,                 2.3363,                 1.0072,                 1.5891,                0.00604,                0.00604,                0.00604
                     43,                0.79987,                0.33804,                  1.021,                 0.8484,                0.29432,                 1.0322,                0.79756,                0.67122,                0.71514,                0.27834,                 2.2637,                0.83692,                 1.5952,                 2.3451,                0.99293,                  1.591,               0.005941,               0.005941,               0.005941
                     44,                0.79291,                0.33495,                 1.0198,                 0.8414,                 0.2925,                 1.0302,                0.79197,                0.67681,                0.71595,                0.27678,                  2.277,                0.83665,                  1.604,                 2.3494,                0.99094,                 1.5933,               0.005842,               0.005842,               0.005842
                     45,                0.79824,                0.33762,                   1.02,                0.84646,                0.29572,                 1.0303,                0.79047,                0.67784,                0.71615,                0.27804,                  2.272,                0.84271,                 1.6026,                 2.3406,                0.99803,                  1.592,               0.005743,               0.005743,               0.005743
                     46,                0.79534,                0.33424,                 1.0201,                0.84335,                0.29362,                 1.0303,                0.78217,                0.67696,                0.70832,                0.27335,                 2.2763,                 0.8487,                 1.6079,                 2.3471,                 1.0035,                 1.6002,               0.005644,               0.005644,               0.005644
                     47,                0.78399,                0.33114,                 1.0127,                0.83236,                0.28988,                 1.0232,                0.78236,                0.67285,                0.70547,                0.27427,                 2.2761,                0.84566,                 1.6146,                  2.343,                 1.0018,                 1.6063,               0.005545,               0.005545,               0.005545
                     48,                0.78427,                0.32807,                 1.0132,                0.83202,                0.28964,                 1.0231,                0.78406,                0.67387,                0.70726,                0.27724,                 2.2685,                 0.8441,                 1.6136,                 2.3329,                  1.011,                 1.6024,               0.005446,               0.005446,               0.005446
                     49,                 0.7816,                0.32705,                 1.0123,                0.82937,                0.28825,                 1.0224,                 0.7884,                0.67001,                0.70672,                0.27694,                 2.2724,                0.84311,                 1.6196,                 2.3293,                  1.018,                  1.603,               0.005347,               0.005347,               0.005347
                     50,                0.78441,                0.32787,                 1.0111,                0.83276,                0.28725,                 1.0213,                0.79189,                0.66961,                0.70756,                0.27694,                 2.2676,                0.84777,                 1.6179,                  2.332,                 1.0235,                 1.6041,               0.005248,               0.005248,               0.005248
                     51,                0.78398,                0.32618,                 1.0099,                0.83145,                0.28455,                 1.0204,                0.78891,                0.66933,                0.70541,                0.27585,                 2.2713,                0.85095,                 1.6165,                 2.3409,                 1.0272,                 1.6098,               0.005149,               0.005149,               0.005149
                     52,                0.77362,                0.32229,                 1.0081,                0.82076,                0.28161,                  1.018,                0.78903,                0.66564,                0.69939,                0.27327,                 2.2785,                0.85281,                 1.6238,                 2.3487,                 1.0348,                 1.6178,                0.00505,                0.00505,                0.00505
                     53,                0.76944,                0.32288,                 1.0045,                 0.8164,                0.28246,                 1.0146,                0.78791,                0.66284,                0.69602,                0.27135,                 2.2869,                 0.8555,                 1.6316,                 2.3551,                 1.0402,                 1.6241,               0.004951,               0.004951,               0.004951
                     54,                0.76691,                0.31896,                 1.0044,                0.81424,                0.27885,                 1.0148,                0.79099,                0.66196,                0.69708,                0.27141,                 2.2862,                0.85528,                 1.6336,                 2.3543,                 1.0391,                 1.6264,               0.004852,               0.004852,               0.004852
                     55,                0.76041,                0.31729,                 1.0006,                0.80687,                0.27684,                 1.0103,                0.78859,                0.66034,                0.69427,                0.27061,                 2.2904,                0.85327,                 1.6405,                 2.3606,                 1.0364,                 1.6317,               0.004753,               0.004753,               0.004753
                     56,                0.75899,                0.31607,                 1.0005,                0.80537,                0.27431,                 1.0099,                0.78401,                0.66358,                0.69443,                0.26984,                 2.2935,                0.85059,                 1.6446,                 2.3621,                 1.0385,                  1.634,               0.004654,               0.004654,               0.004654
                     57,                0.75339,                0.31336,                0.99793,                0.79968,                0.27333,                 1.0075,                0.78523,                0.66393,                0.69508,                0.26955,                 2.2954,                0.84691,                 1.6475,                 2.3654,                 1.0344,                 1.6382,               0.004555,               0.004555,               0.004555
                     58,                0.75687,                0.31528,                0.99836,                0.80225,                0.27442,                 1.0084,                0.78507,                0.66431,                0.69485,                0.26957,                 2.2958,                0.84654,                 1.6486,                 2.3652,                 1.0305,                   1.64,               0.004456,               0.004456,               0.004456
                     59,                0.76018,                0.31621,                0.99736,                 0.8073,                0.27646,                  1.007,                0.78699,                0.66358,                0.69643,                0.26891,                 2.2971,                0.84603,                 1.6509,                 2.3658,                 1.0306,                  1.642,               0.004357,               0.004357,               0.004357
                     60,                0.74996,                0.31061,                0.99179,                0.79568,                0.27074,                 1.0017,                0.78807,                0.66593,                 0.6978,                0.26989,                 2.2976,                0.84486,                 1.6525,                  2.365,                 1.0277,                 1.6422,               0.004258,               0.004258,               0.004258
                     61,                0.74489,                0.30939,                0.99261,                0.79061,                0.26924,                 1.0025,                0.78747,                0.66576,                0.69698,                0.26913,                 2.2992,                0.84652,                 1.6553,                 2.3654,                 1.0325,                 1.6434,               0.004159,               0.004159,               0.004159
                     62,                0.74409,                0.30965,                0.99619,                0.78995,                0.27262,                 1.0053,                0.78219,                0.66479,                0.69516,                0.26843,                 2.3015,                0.84763,                 1.6578,                 2.3659,                 1.0334,                 1.6448,                0.00406,                0.00406,                0.00406
                     63,                0.74092,                0.30655,                0.99483,                0.78572,                0.26965,                 1.0038,                0.78295,                0.66328,                0.69334,                0.26758,                 2.3056,                0.84764,                 1.6628,                 2.3706,                 1.0314,                 1.6493,               0.003961,               0.003961,               0.003961
                     64,                0.73266,                0.30417,                 0.9888,                0.77807,                0.26648,                0.99768,                0.79046,                0.65842,                0.69257,                0.26744,                 2.3069,                0.84782,                 1.6657,                 2.3709,                 1.0348,                 1.6515,               0.003862,               0.003862,               0.003862
                     65,                0.73249,                0.30326,                0.98461,                0.77623,                0.26555,                0.99277,                0.79331,                0.65803,                0.69304,                0.26742,                 2.3081,                0.84836,                 1.6693,                 2.3724,                 1.0336,                 1.6547,               0.003763,               0.003763,               0.003763
                     66,                 0.7282,                0.30096,                 0.9861,                0.77229,                0.26436,                0.99433,                0.79259,                0.65852,                0.69331,                0.26748,                 2.3087,                0.84922,                 1.6711,                 2.3721,                 1.0345,                 1.6554,               0.003664,               0.003664,               0.003664
                     67,                0.72936,                0.30039,                0.98569,                0.77333,                0.26155,                0.99417,                0.79421,                 0.6577,                0.69262,                0.26715,                 2.3089,                0.84941,                 1.6723,                 2.3727,                 1.0357,                 1.6567,               0.003565,               0.003565,               0.003565
                     68,                0.72303,                0.29914,                0.98328,                0.76563,                0.26128,                 0.9918,                0.79358,                0.65931,                0.69217,                 0.2667,                 2.3094,                0.84906,                 1.6737,                 2.3727,                  1.037,                  1.658,               0.003466,               0.003466,               0.003466
                     69,                0.71906,                0.29808,                0.98418,                0.76198,                 0.2606,                0.99244,                0.79068,                 0.6604,                0.69192,                0.26712,                 2.3106,                0.84925,                 1.6757,                 2.3724,                 1.0408,                 1.6593,               0.003367,               0.003367,               0.003367
