ที่นั้ง,d0709_1,d0709_2,d0710_1,d0710_2,d0710_3,d0715_1,d0715_2,d0716_1,d0718_1,d0723_1,d0725_1,d0725_2,d0731_1,d0801_1,d0805_1,d0806_1,d0806_2,d0806_3
A1,ร,ร,ส,ร,ร,ร,ร,ร,ข,ส,ส,ร,ร,ร,ร,ร,ร,ร
A2,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
A3,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
A4,ร,ร,ส,ร,ร,ร,ร,ร,ส,ส,ร,ร,ร,ร,ร,ร,ร,ร
A5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
A6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
A7,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข
A8,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข
B1,ร,ร,ส,ร,ร,ส,ร,ส,ส,ส,ส,ร,ร,ส,ร,ข,ร,ร
B2,ร,ส,ร,ร,ร,ร,ร,ร,ส,ร,ส,ร,ร,ส,ร,ส,ร,ร
B3,ข,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
B4,ข,ข,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
B5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
B6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
B7,ร,ร,ร,ร,ร,ร,ร,ส,ส,ส,ร,ร,ร,ร,ร,ร,ร,ร
B8,ร,ร,ร,ร,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ข,ร,ร,ร
C2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
C3,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
C4,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
C5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
C6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
C7,ร,ร,ส,ส,ร,ร,ร,ส,ส,ส,ร,ร,ร,ร,ร,ร,ร,ร
C8,ร,ร,ส,ร,ร,ร,ร,ส,ส,ส,ร,ร,ร,ร,ร,ร,ร,ร
D2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ร,ร,ร,ร,ร,ร,ร,ร
D3,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ล,ร,ร,ร,ร
D4,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
D5,ร,ร,ข,ข,ข,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
D6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
D7,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ข,ส,ร,ร,ร
D8,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
E2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
E3,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
E5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
E6,ร,ร,ร,ร,ร,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร
E7,ร,ร,ส,ร,ร,ส,ร,ส,ส,ส,ร,ร,ร,ร,ร,ร,ร,ข
E8,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
F1,ร,ร,ร,ร,ร,ร,ร,ข,ร,ข,ร,ร,ร,ร,ร,ส,ข,ข
F2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
F3,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร
F4,ร,ร,ส,ส,ร,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร
F5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
F6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร
F7,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
G1,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
G2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ส,ร,ร
G3,ร,ร,ร,ร,ร,ร,ร,ร,ร,ส,ข,ข,ร,ร,ร,ส,ร,ร
G4,ร,ร,ร,ร,ร,ร,ร,ร,ร,ส,ข,ข,ร,ส,ร,ร,ร,ส
G5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
G6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
G7,ร,ร,ร,ส,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร
G8,ข,ร,ร,ส,ร,ร,ร,ส,ร,ร,ร,ร,ร,ล,ร,ร,ร,ร
H1,ข,ข,ข,ข,ข,ข,ข,ข,ส,ข,ข,ข,ข,ข,ข,ข,ข,ข
H2,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ร,ร,ร,ร,ส
H3,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ร,ร,ร,ร,ส
H4,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ส,ร,ร,ร,ร,ร
H5,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ร,ร,ส,ร,ร
H6,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ร,ร,ส,ร,ร
H7,ร,ร,ร,ร,ร,ร,ร,ร,ส,ร,ข,ข,ร,ร,ข,ส,ร,ร
H8,ร,ร,ร,ร,ร,ร,ร,ร,ร,ร,ข,ข,ร,ร,ร,ข,ร,ร
H9,ร,ร,ร,ร,ร,ร,ร,ร,ข,ร,ข,ข,ร,ร,ร,ข,ร,ร
